desc_id,description,freq_mentioned,targets
89,交通,9,"出门, 去医院, 去医院, 回家, 回家, 学校, 公共汽车, 救护车, 自行车, 车, 司机"
90,走,20,"出门, 后退, 后退, 进, 进, 去医院, 回家, 去医院, 回家, 树林, 楼梯, 公园, 广场, 街, 街, 郊外, 凉鞋, 脚, 邻居, 邻居, 护工, 外公, 外公, 外婆, 外婆, 奶奶, 奶奶, 爷爷, 老人, 老人"
91,休息,47,"听, 低头, 躺下, 睡觉, 回家, 玩手机, 玩手机, 背心, 发烧, 客厅, 家, 阳台, 拖鞋, 拖鞋, 枕头, 毛毯, 头痛, 感冒, 淤青, 瘙痒, 胃痛, 地毯, 床, 桌子, 椅子, 椅子, 沙发, 沙发, 浴缸, 灯, 窗户, 茶几, 镜子, 门, 平板电脑, 电脑, 电视机, 电视机, 笔记本电脑, 果汁, 水, 汽水, 牛奶, 酸奶, 梨, 樱桃, 橙子, 下午, 下午, 夏季, 外公, 外婆, 奶奶"
92,电视,8,"听, 看电视, 中午, 客厅, 家, 医院, 眼镜, 眼镜, 眼睛"
93,电影院,6,"听, 果汁, 水, 汽水, 酒, 分钟"
94,医院,35,"听, 扶, 去医院, 护理中心, 发烧, 发烧, 发烧, 药膏, 药膏, 药膏, 血糖仪, 血糖仪, 血糖仪, 血糖仪, 牙齿, 牙齿, 洗手池, 药店, 口罩, 头痛, 头痛, 头痛, 头痛, 感冒, 感冒, 感冒, 感冒, 淤青, 淤青, 淤青, 淤青, 瘙痒, 瘙痒, 瘙痒, 瘙痒, 胃痛, 胃痛, 胃痛, 胃痛, 高肌张力, 高肌张力, 高肌张力, 药, 药, 药, 中药, 中药, 中药, 药片, 药片, 药片, 胶囊, 胶囊, 胶囊, 开塞露, 矫正板, 血压仪, 轮椅, 康复训练, 按摩, 脖子, 腹部, 膝盖, 腰, 医生, 护工, 护士, 护士, 理疗师"
95,耳机,4,"听, 平板电脑, 手机, 笔记本电脑"
96,音响,5,"听, 浴室, 学校, 广场, 街"
97,音乐,10,"听, 玩手机, 耳朵, 果汁, 水, 汽水, 雨, 雨天, 雪, 雷电"
98,耳朵,7,"听, 广场, 平板电脑, 手机, 电脑, 笔记本电脑, 耳机, 耳机"
99,兔子,3,"听, 胡萝卜, 胡萝卜, 青菜"
100,台风,5,"听, 夏季, 台风, 雨, 雨天"
101,医生,49,"听, 去医院, 吃药, 去医院, 护理中心, 发烧, 药膏, 血糖仪, 牙齿, 牙齿, 狗, 猫, 医院, 药店, 口罩, 手套, 牙刷, 牙膏, 救护车, 咳嗽, 喷嚏, 头晕, 头痛, 头痛, 感冒, 感冒, 淤青, 淤青, 瘙痒, 瘙痒, 胃痛, 胃痛, 高肌张力, 药, 中药, 药片, 胶囊, 开塞露, 口罩, 矫正板, 血压仪, 轮椅, 康复训练, 按摩, 背, 胳膊, 胸, 脖子, 腿, 脚, 腹部, 膝盖, 腰, 护工, 老人, 护士, 理疗师"
102,点心,4,"咬, 尝, 手机, 下午, 下午"
103,肉,19,"咬, 嚼, 吃饭, 包子, 面条, 菜市场, 大腿, 头, 小腿, 屁股, 手, 手腕, 背, 胳膊, 胸, 腿, 脚, 腹部, 香肠"
104,牙齿,8,"咬, 嚼, 牙刷, 牙刷, 牙膏, 牙膏, 糖果, 汽水, 小孩, 男孩"
105,吃药,9,"吞, 发烧, 头痛, 感冒, 高肌张力, 药, 药, 中药, 中药, 药片, 药片, 胶囊, 胶囊"
106,恶心,3,"吐, 头痛, 蟑螂"
107,难受,6,"吐, 去医院, 医院, 头痛, 胳膊, 鼻子"
108,酒吧,7,"喝, 杯子, 果汁, 水, 汽水, 牛奶, 酒"
109,酒,11,"喝, 喝, 杯子, 头痛, 瘙痒, 胃痛, 药, 膝盖, 晚上, 兄弟, 女人, 姐妹"
110,咖啡,8,"喝, 吹, 书店, 水, 牛奶, 下午, 女人, 姐妹"
111,茶,6,"喝, 吹, 书店, 茶壶, 水, 下午"
112,杯子,23,"喝, 喝水, 吃药, 可乐, 咖啡, 茶, 茶, 勺子, 药, 中药, 药片, 胶囊, 茶几, 果汁, 果汁, 水, 水, 水, 汽水, 汽水, 牛奶, 牛奶, 酸奶, 酸奶, 柠檬, 梨, 樱桃, 橙子, 外公, 老人"
113,厨师,56,"尝, 厨房, 包子, 面条, 南瓜, 土豆, 玉米, 牛肉, 猪肉, 鸡蛋, 扇贝, 虾, 螃蟹, 中午, 手套, 袖子, 刀子, 勺子, 平底锅, 煮锅, 碗, 冰箱, 果汁, 汽水, 牛奶, 酒, 酸奶, 柠檬, 梨, 樱桃, 橙子, 洋葱, 牛油果, 白萝卜, 胡萝卜, 茄子, 菠菜, 菠萝, 葡萄, 蘑菇, 西兰花, 西瓜, 豆角, 青椒, 青菜, 香菜, 香蕉, 黄瓜, 羊肉, 蛋黄, 蛋黄, 香肠, 鸡肉, 鸭肉, 鱼肉, 鱼, 外卖员"
114,开水,9,"吹, 茶, 书店, 公园, 洗脚盆, 杯子, 药, 药片, 胶囊"
115,面条,10,"吹, 吃饭, 包子, 牛肉, 猪肉, 叉子, 煮锅, 筷子, 通心粉, 洋葱"
116,头,12,"摇头, 低头, 抬头, 墨镜, 发卡, 发箍, 头绳, 帽子, 枕头, 洗发露, 头晕, 头发"
117,脖子,8,"摇头, 低头, 抬头, 围巾, 领带, 头, 脖子, 蚊子"
118,表达,5,"摇头, 低头, 打电话, 说话, 说话, 理疗师"
119,突然,3,"低头, 抬头, 蟑螂"
120,上课,11,"低头, 抬头, 走, 嘴巴, 平板电脑, 同学, 学生, 儿子, 儿子, 女儿, 女儿, 女孩, 女孩, 男孩"
121,手机,15,"低头, 擦, 擦, 工作, 上班, 打电话, 玩手机, 视频, 视频, 玩手机, 玩手机, 充电器, 中午, 电梯, 下午, 分钟, 女人, 妻子, 快递员"
122,学习,35,"低头, 看书, 视频, 起床, 书店, 书店, 学校, 学校, 头绳, 眼镜, 背包, 手写板, 书架, 桌子, 椅子, 沙发, 灯, 茶几, 平板电脑, 电脑, 笔记本电脑, 水, 同学, 同学, 同学, 学生, 学生, 学生, 儿子, 儿子, 儿子, 兄弟, 女人, 女儿, 女儿, 女儿, 女孩, 女孩, 女孩, 姐妹, 姐妹, 小孩, 男孩, 男孩, 男孩, 男孩, 侄子, 侄子, 侄子, 侄女, 侄女, 侄女, 外甥, 外甥, 外甥, 外甥女, 外甥女, 外甥女, 老师, 老师"
123,护工,26,"扶, 吃药, 护理中心, 发烧, 药膏, 头痛, 感冒, 淤青, 瘙痒, 胃痛, 药, 中药, 药片, 胶囊, 背, 胳膊, 胸, 脖子, 腿, 脚, 脸, 腹部, 保姆, 医生, 老人, 理疗师"
124,护士,31,"扶, 去医院, 吃药, 去医院, 发烧, 药膏, 血糖仪, 牙齿, 狗, 猫, 医院, 口罩, 手套, 头痛, 感冒, 淤青, 瘙痒, 胃痛, 药, 中药, 药片, 胶囊, 开塞露, 口罩, 矫正板, 血压仪, 轮椅, 康复训练, 按摩, 腹部, 膝盖, 医生, 护工"
125,照顾,22,"扶, 扶, 护理中心, 护理中心, 丈夫, 丈夫, 保姆, 护工, 护工, 儿子, 儿子, 儿子, 兄弟, 兄弟, 外公, 外公, 外公, 外公, 外公, 外婆, 外婆, 外婆, 外婆, 外婆, 女人, 女人, 女儿, 女儿, 女儿, 女孩, 奶奶, 奶奶, 奶奶, 奶奶, 奶奶, 妻子, 妻子, 姐妹, 姐妹, 姑姑, 家人, 母亲, 母亲, 父亲, 父亲, 爷爷, 爷爷, 护士, 社工"
126,胳膊,11,"抱, 推, 推, 摇, T恤, 袖子, 血压仪, 手腕, 手肘, 白萝卜, 蚊子, 鸟"
127,胸部,3,"抱, 内衣, 胸罩, 胸罩"
128,打开,36,"抱, 抓, 推, 厨房, 窗边, 窗边, 剃须刀, 洗手池, 吹风机, 巧克力, 可乐, 可乐, 咖啡, 咖啡, 玉米, 药店, 床单, 口红, 毛巾, 牙膏, 筷子, 柜子, 门, 马桶, 冰箱, 微波炉, 洗衣机, 空调, 风扇, 平板电脑, 手机, 电脑, 电视机, 笔记本电脑, 洋葱, 牛油果, 葡萄, 豆角, 香蕉"
129,约会,6,"抱, 刷牙, 发卡, 头绳, 星星, 月亮"
130,冰箱,15,"拿, 家, 煮锅, 煮锅, 碗, 地板, 香菜, 香蕉, 黄瓜, 羊肉, 香肠, 鸡肉, 鸭肉, 鱼肉, 女人, 妻子"
131,柜子,6,"拿, 门口, 拖鞋, 靴子, 毛毯, 地板"
132,拿,29,"拿, 拿, 捡, 捡, 墨镜, 充电器, 吹风机, 茶, 玉米, 鸡蛋, 猫, 门口, 商店, 菜市场, 银行, T恤, 手写板, 脸盆, 洗脚盆, 笔, 笔, 筷子, 筷子, 花瓶, 手, 胳膊, 柠檬, 梨, 樱桃, 橙子, 蟑螂, 花, 快递员"
133,收回,3,"拿, 踢, 胳膊"
134,去除,5,"撕, 牙膏, 鼻子, 牛油果, 芒果"
135,捏,5,"撕, 纸巾, 肥皂, 被子, 餐巾"
136,腰,4,"捡, 药膏, 大腿, 屁股"
137,鸡蛋,4,"打, 面条, 上午, 牛油果"
138,游戏,20,"打, 休息, 玩手机, 玩手机, 家, 裙子, 口红, 平板电脑, 平板电脑, 手机, 手机, 电脑, 电脑, 蘑菇, 年轻人, 年轻人, 儿子, 儿子, 兄弟, 女人, 女儿, 女儿, 女儿, 女儿, 女孩, 女孩, 女孩, 女孩, 姐妹, 姐妹, 朋友, 朋友, 父亲, 男人"
139,苹果,3,"擦, 果汁, 梨"
140,脸,16,"擦, 拍, 刷牙, 洗脸, 视频, 墨镜, 剃须刀, 洗手池, 口罩, 脸盆, 枕头, 毛巾, 毛巾, 洗面奶, 眼睛, 耳朵, 镜子"
141,茶几,3,"擦, 地板, 地毯"
142,西瓜,3,"拍, 果汁, 夏季"
143,视频,6,"拍, 休息, 玩手机, 玩手机, 平板电脑, 电视机, 分钟"
144,电影,17,"拍, 休息, 胸, 果汁, 果汁, 汽水, 汽水, 分钟, 雨, 雨天, 雪, 雷电, 年轻人, 女人, 姐妹, 朋友, 朋友, 母亲, 父亲, 男人"
145,肚子,3,"拍, 胃痛, 胃痛, 腹部"
146,屁股,5,"拍, 上厕所, 椅子, 沙发, 马桶"
147,花,10,"插, 插, 树枝, 树枝, 公园, 花瓶, 鼻子, 外公, 外婆, 女孩, 奶奶, 社工"
148,插头,14,"插, 插, 充电器, 血糖仪, 吹风机, 冰箱, 微波炉, 洗衣机, 空调, 风扇, 平板电脑, 手机, 电脑, 电视机, 笔记本电脑"
149,教室,9,"写, 学校, 手写板, 空调, 风扇, 平板电脑, 电脑, 笔记本电脑, 饼干"
150,漫画,8,"画, 年轻人, 儿子, 女儿, 女孩, 姐妹, 小孩, 朋友"
151,设计师,6,"画, 脖子, 书架, 手机, 电脑, 笔记本电脑"
152,船,15,"摇, 皮鞋, 运动鞋, 桌子, 椅子, 灯, 窗户, 镜子, 门, 马桶, 香蕉, 香肠, 鱼肉, 鱼, 树干"
153,床,17,"摇, 躺下, 躺下, 睡觉, 睡觉, 睡觉, 午睡, 起床, 起床, 中午, 枕头, 毛毯, 被子, 被子, 地毯, 保姆, 儿子, 女人, 女儿, 女孩, 妻子, 爷爷"
154,树,8,"摇, 叶子, 风, 柠檬, 鸟, 树干, 季节, 社工"
155,花园,5,"剪, 护理中心, 树干, 花, 草"
156,头发,9,"剪, 洗手池, 吹风机, 风, 发卡, 发箍, 头绳, 帽子, 洗发露, 洗发露"
157,工人,30,"剪, 窗边, 叶子, 叶子, 树, 树, 树林, 树林, 树枝, 树枝, 树枝, 浴室, 电梯, 公园, 商店, 广场, 街, 路, 手套, 手套, 书架, 地板, 墙壁, 风扇, 平板电脑, 手机, 电视机, 笔记本电脑, 馒头, 水, 水, 树干, 树干, 花, 草, 同学, 学生, 司机"
158,运动员,10,"扔, 跑, 背心, 运动鞋, 药膏, 毛巾, 腿, 脚, 膝盖, 香蕉"
159,腰带,3,"转身, 弯腰, 腰"
160,扭动,4,"转身, 头, 脖子, 脚"
161,卧室,14,"躺下, 睡觉, 电梯, 门口, 公园, 医院, 拖鞋, 床单, 枕头, 毛毯, 被子, 灯, 窗户, 门"
162,衣服,50,"躺下, 睡觉, 睡觉, 去医院, 起床, 去医院, 吹风机, 家, 家, 阳台, 阳台, 阳台, 医院, 医院, 卫衣, 口袋, 床单, 枕头, 枕头, 毛巾, 毛巾, 毛毯, 毛毯, 沐浴露, 沐浴露, 洗发露, 洗发露, 洗面奶, 洗面奶, 煮锅, 煮锅, 牙刷, 牙刷, 牙膏, 牙膏, 碗, 碗, 头痛, 感冒, 淤青, 瘙痒, 胃痛, 高肌张力, 药, 中药, 药片, 胶囊, 胸, 脖子, 桌子, 椅子, 沙发, 灯, 窗户, 茶几, 镜子, 门, 马桶, 洗衣机, 夏季, 儿子, 儿子, 女人, 女儿, 女儿, 女孩, 女孩, 妻子, 男孩"
163,睡觉,16,"躺下, 睡觉, 发烧, 家, 睡衣, 拖鞋, 拖鞋, 枕头, 枕头, 牙刷, 被子, 被子, 火车, 头痛, 感冒, 淤青, 床, 灯, 灯, 雨天"
164,枕头,5,"睡觉, 睡觉, 午睡, 中午, 床单, 床"
165,躺,12,"睡觉, 睡觉, 午睡, 看电视, 发烧, 拖鞋, 枕头, 枕头, 枕头, 头痛, 感冒, 淤青, 床, 浴缸, 爷爷"
166,弯曲,4,"蹲下, 胳膊, 香蕉, 月"
167,厕所,14,"蹲下, 上厕所, 剃须刀, 洗手池, 洗手池, 吹风机, 毛巾, 毛巾, 洗面奶, 洗面奶, 牙刷, 牙膏, 肥皂, 浴缸, 镜子, 马桶, 洗衣机"
168,袜子,8,"后退, 进, 跑, 皮鞋, 脚, 洗衣机, 女人, 妻子"
169,地面,3,"跑, 树枝, 纸"
170,椅子,16,"站, 吃饭, 看书, 中午, 轮椅, 背, 脖子, 腿, 桌子, 马桶, 树干, 保姆, 儿子, 女儿, 女孩, 老人"
171,脆弱,13,"走, 发烧, 牙齿, 感冒, 胳膊, 腹部, 膝盖, 外公, 外婆, 奶奶, 男人, 男孩, 老人, 老人"
172,拐杖,6,"走, 外公, 外婆, 奶奶, 爷爷, 老人"
173,出门,20,"走, 洗澡, 洗脸, 穿衣服, 穿鞋, 穿鞋, 穿鞋, 停车场, 墨镜, 家, 电梯, 门口, 口罩, 围巾, 帽子, 眼镜, 袜子, 袜子, 靴子, 靴子, 领带, 口红, 水, 邻居"
174,喝水,6,"走, 杯子, 药, 中药, 药片, 胶囊"
175,餐具,20,"吃饭, 厨房, 菜市场, 手套, 桌子, 茶几, 洋葱, 牛油果, 番茄, 茄子, 菠菜, 菠萝, 葡萄, 蘑菇, 西兰花, 西瓜, 豆角, 青椒, 青菜, 树干"
176,餐桌,12,"吃饭, 碗, 茄子, 菠菜, 菠萝, 葡萄, 蘑菇, 西兰花, 西瓜, 豆角, 青椒, 青菜"
177,夹,3,"吃饭, 面条, 螃蟹"
178,安静,3,"睡觉, 书店, 银行"
179,脑袋,5,"睡觉, 午睡, 工作, 休息, 上班"
180,被子,8,"睡觉, 午睡, 中午, 阳台, 床单, 枕头, 床, 洗衣机"
181,办公室,17,"午睡, 工作, 休息, 上班, 视频, 充电器, 茶, 手写板, 冰箱, 微波炉, 空调, 风扇, 平板电脑, 电脑, 笔记本电脑, 耳机, 糖果"
182,下午,3,"工作, 茶, 阳台"
183,制服,3,"工作, 上班, 衬衣"
184,爸爸,93,"工作, 打电话, 去医院, 回家, 玩手机, 说话, 起床, 喝水, 吃药, 玩手机, 厨房, 停车场, 背心, 墨镜, 皮鞋, 皮鞋, 运动鞋, 剃须刀, 巧克力, 面条, 叶子, 上午, 中午, 家, 公园, 医院, 秋衣, 长裤, 卫衣, 凉鞋, 发卡, 发箍, 口罩, 口袋, 围巾, 头绳, 帽子, 刀子, 勺子, 平底锅, 煮锅, 桌子, 椅子, 沙发, 浴缸, 灯, 窗户, 茶几, 镜子, 门, 马桶, 冰箱, 微波炉, 洗衣机, 空调, 风扇, 平板电脑, 手机, 电脑, 电视机, 笔记本电脑, 洋葱, 牛油果, 生姜, 白菜, 白萝卜, 胡萝卜, 火龙果, 芒果, 苹果, 蟑螂, 鱼, 丈夫, 同学, 学生, 年轻人, 保姆, 儿子, 兄弟, 女人, 女儿, 女孩, 奶奶, 姐妹, 姑姑, 姑父, 家人, 小孩, 母亲, 爷爷, 阿姨, 叔叔, 婶婶, 舅舅, 舅妈"
185,妈妈,100,"工作, 打电话, 去医院, 回家, 玩手机, 说话, 起床, 喝水, 吃药, 玩手机, 厨房, 厨房, 停车场, 墨镜, 包子, 巧克力, 面条, 南瓜, 土豆, 玉米, 牛肉, 猪肉, 鸡蛋, 虾, 螃蟹, 上午, 中午, 阴天, 家, 公园, 医院, 秋衣, 长裤, 卫衣, 凉鞋, 发卡, 发箍, 口罩, 口袋, 围巾, 头绳, 帽子, 手套, 刀子, 勺子, 床单, 口红, 平底锅, 煮锅, 桌子, 椅子, 沙发, 浴缸, 灯, 窗户, 茶几, 镜子, 门, 马桶, 冰箱, 微波炉, 洗衣机, 空调, 风扇, 平板电脑, 手机, 电脑, 电视机, 笔记本电脑, 洋葱, 牛油果, 生姜, 番茄, 白菜, 白萝卜, 胡萝卜, 火龙果, 芒果, 苹果, 蟑螂, 鱼, 丈夫, 同学, 学生, 年轻人, 保姆, 儿子, 兄弟, 外公, 外婆, 女人, 女儿, 女孩, 姐妹, 家人, 小孩, 父亲, 阿姨, 叔叔, 婶婶, 舅舅, 舅妈"
186,书本,15,"休息, 学校, 笔, 笔记本, 眼睛, 同学, 同学, 学生, 学生, 年轻人, 儿子, 女人, 女儿, 女儿, 女孩, 小孩, 男孩, 男孩, 老人"
187,沙发,10,"休息, 看书, 看电视, 客厅, 毛毯, 毛毯, 胳膊, 地板, 桌子, 女人, 妻子"
188,坐,10,"休息, 看电视, 起床, 阳台, 学校, 轮椅, 屁股, 椅子, 椅子, 沙发, 沙发, 马桶"
189,放松,8,"看书, 看电视, 玩手机, 玩手机, 家, 公园, 公园, 公园, 广场, 郊外, 凉鞋"
190,记录,4,"看书, 血糖仪, 手写板, 平板电脑"
191,看,19,"看书, 玩手机, 玩手机, 窗边, 牙齿, 公园, 眼睛, 眼睛, 灯, 窗户, 镜子, 平板电脑, 手机, 电脑, 电视机, 笔记本电脑, 洋葱, 鱼, 鱼, 鱼, 鸟, 花, 分钟"
192,公司,12,"打电话, 玩手机, 说话, 皮鞋, 电梯, 头痛, 感冒, 淤青, 瘙痒, 胃痛, 水, 下午"
193,同学,16,"打电话, 说话, 剃须刀, 充电器, 出租车, 可乐, 楼梯, 书店, 眼镜, 背包, 胸罩, 洗衣机, 空调, 平板电脑, 电脑, 姐妹"
194,听,8,"打电话, 玩手机, 耳朵, 耳朵, 平板电脑, 手机, 电脑, 电视机, 笔记本电脑"
195,日常,3,"打电话, 胸罩, 手机"
196,干净,15,"洗澡, 刷牙, 洗脸, 牙齿, 浴室, 平底锅, 枕头, 毛巾, 牙膏, 碗, 浴缸, 窗户, 茶几, 镜子, 马桶"
197,毛巾,13,"洗澡, 洗脸, 上午, 浴室, 脸盆, 洗脚盆, 沐浴露, 洗发露, 洗面奶, 纸巾, 浴缸, 镜子, 马桶"
198,沐浴露,3,"洗澡, 浴室, 背"
199,热水器,4,"洗澡, 沐浴露, 太阳, 太阳, 晴天"
200,整理,19,"洗澡, 刷牙, 洗脸, 喝水, 剃须刀, 浴室, 手套, 手套, 毛巾, 洗面奶, 书架, 抽屉, 抽屉, 抽屉, 柜子, 柜子, 柜子, 浴缸, 镜子, 镜子, 镜子, 蟑螂, 保姆, 护工, 清洁工, 清洁工, 清洁工, 社工"
201,刷,9,"洗澡, 洗脸, 背心, 皮鞋, 牙齿, 洗手池, 洗手池, 凉鞋, 凉鞋, 牙刷, 牙刷, 牙刷, 清洁工"
202,涂抹,6,"洗澡, 药膏, 口红, 沐浴露, 洗发露, 洗面奶"
203,起床,5,"洗澡, 刷牙, 洗脸, 穿衣服, 床"
204,清新,10,"刷牙, 公园, 凉鞋, 洗发露, 牙膏, 果汁, 水, 汽水, 西瓜, 雨"
205,牙刷,4,"刷牙, 刷牙, 牙齿, 上午, 浴室"
206,牙膏,6,"刷牙, 药膏, 牙齿, 浴室, 牙刷, 牙膏"
207,开会,5,"刷牙, 视频, 皮鞋, 上午, 老师"
208,医疗器械,7,"去医院, 药店, 刀子, 口罩, 矫正板, 血压仪, 轮椅"
209,救护车,4,"去医院, 家, 公园, 医生"
210,祖父,46,"去医院, 回家, 说话, 背心, 墨镜, 运动鞋, 剃须刀, 包子, 面条, 牛肉, 猪肉, 叶子, 秋衣, 长裤, 卫衣, 凉鞋, 发卡, 发箍, 口罩, 口袋, 围巾, 头绳, 帽子, 冰箱, 微波炉, 洗衣机, 空调, 风扇, 电视机, 洋葱, 番茄, 白菜, 白萝卜, 胡萝卜, 火龙果, 芒果, 苹果, 鱼, 外婆, 女孩, 女孩, 奶奶, 姑姑, 姑父, 家人, 家人, 母亲, 父亲"
211,祖母,50,"去医院, 回家, 说话, 厨房, 厨房, 包子, 面条, 南瓜, 土豆, 玉米, 牛肉, 猪肉, 鸡蛋, 虾, 螃蟹, 叶子, 秋衣, 长裤, 卫衣, 凉鞋, 发卡, 发箍, 口罩, 口袋, 围巾, 头绳, 帽子, 煮锅, 冰箱, 微波炉, 洗衣机, 空调, 风扇, 电视机, 洋葱, 番茄, 番茄, 白菜, 白萝卜, 胡萝卜, 火龙果, 芒果, 苹果, 鱼, 外公, 女孩, 女孩, 姑姑, 姑父, 家人, 家人, 母亲, 父亲, 爷爷"
212,看病,22,"去医院, 护理中心, 发烧, 发烧, 发烧, 发烧, 医院, 医院, 医院, 口罩, 咳嗽, 头痛, 头痛, 头痛, 感冒, 感冒, 感冒, 感冒, 淤青, 淤青, 淤青, 瘙痒, 瘙痒, 瘙痒, 胃痛, 胃痛, 胃痛, 高肌张力, 高肌张力, 药, 药, 中药, 中药, 药片, 药片, 胶囊, 胶囊, 腹部, 膝盖, 医生, 姐妹, 姐妹, 小孩, 小孩, 朋友, 朋友"
213,治疗,10,"去医院, 护理中心, 医院, 药店, 药, 中药, 药片, 胶囊, 医生, 护工"
214,骑车,6,"回家, 路, 袖子, 袖子, 自行车, 腿, 外卖员"
